description,category,amount,date
Holiday Gas Refill,Auto/Transport,$43.59 ,12/7/2021
Taco Bell,Fast Food,$13.59 ,12/6/2021
Transfer to Saving,Transfer,$32.00 ,12/5/2021
Netflix Subscription,Entertainment,$16.99 ,12/4/2021
McDonalds,Fast Food,$13.59 ,12/3/2021
Transfer to Credit Card,Transfer,$25.00 ,12/2/2021
HBO Entertainment,Entertainment,$16.99 ,12/4/2021
Shell Gas Station,Auto/Transport,$43.59 ,12/4/2021
Burger King,Fast Food,$13.59 ,12/4/2021
Transfer to 401K,Transfer,$13.56 ,12/4/2021
Marcus Theaters,Entertainment,$16.99 ,12/3/2021
